forecast_period,start_time,temperature,temperature_unit,precipitation_probability_unit,precipitation_probability_value,dewpoint_unit,dewpoint_value,relative_humidity_unit,relative_humidity_value,wind_speed,wind_direction,weather_icon_url,short_forecast
1,2025-04-30T22:00:00-05:00,71,F,wmoUnit:percent,1,wmoUnit:degC,17.22222222222222,wmoUnit:percent,76,5 mph,S,https://api.weather.gov/icons/land/night/sct?size=small,Partly Cloudy
2,2025-04-30T23:00:00-05:00,70,F,wmoUnit:percent,2,wmoUnit:degC,16.666666666666668,wmoUnit:percent,76,5 mph,S,https://api.weather.gov/icons/land/night/sct?size=small,Partly Cloudy
3,2025-05-01T00:00:00-05:00,69,F,wmoUnit:percent,2,wmoUnit:degC,16.666666666666668,wmoUnit:percent,78,5 mph,S,https://api.weather.gov/icons/land/night/sct?size=small,Partly Cloudy
4,2025-05-01T01:00:00-05:00,68,F,wmoUnit:percent,5,wmoUnit:degC,16.11111111111111,wmoUnit:percent,78,5 mph,S,https://api.weather.gov/icons/land/night/sct?size=small,Partly Cloudy
5,2025-05-01T02:00:00-05:00,68,F,wmoUnit:percent,5,wmoUnit:degC,16.666666666666668,wmoUnit:percent,81,5 mph,S,https://api.weather.gov/icons/land/night/sct?size=small,Partly Cloudy
6,2025-05-01T03:00:00-05:00,68,F,wmoUnit:percent,15,wmoUnit:degC,16.666666666666668,wmoUnit:percent,81,5 mph,S,"https://api.weather.gov/icons/land/night/tsra_hi,20?size=small",Slight Chance Showers And Thunderstorms
7,2025-05-01T04:00:00-05:00,67,F,wmoUnit:percent,26,wmoUnit:degC,16.666666666666668,wmoUnit:percent,84,5 mph,S,"https://api.weather.gov/icons/land/night/tsra_hi,30?size=small",Chance Showers And Thunderstorms
8,2025-05-01T05:00:00-05:00,67,F,wmoUnit:percent,15,wmoUnit:degC,17.22222222222222,wmoUnit:percent,87,10 mph,S,"https://api.weather.gov/icons/land/night/tsra_sct,20?size=small",Slight Chance Showers And Thunderstorms
9,2025-05-01T06:00:00-05:00,67,F,wmoUnit:percent,8,wmoUnit:degC,16.666666666666668,wmoUnit:percent,84,10 mph,S,https://api.weather.gov/icons/land/day/bkn?size=small,Partly Sunny
10,2025-05-01T07:00:00-05:00,66,F,wmoUnit:percent,10,wmoUnit:degC,17.22222222222222,wmoUnit:percent,90,10 mph,S,https://api.weather.gov/icons/land/day/bkn?size=small,Partly Sunny
11,2025-05-01T08:00:00-05:00,68,F,wmoUnit:percent,11,wmoUnit:degC,17.77777777777778,wmoUnit:percent,87,10 mph,S,https://api.weather.gov/icons/land/day/bkn?size=small,Partly Sunny
12,2025-05-01T09:00:00-05:00,71,F,wmoUnit:percent,13,wmoUnit:degC,17.77777777777778,wmoUnit:percent,79,10 mph,SSW,https://api.weather.gov/icons/land/day/bkn?size=small,Partly Sunny
13,2025-05-01T10:00:00-05:00,74,F,wmoUnit:percent,16,wmoUnit:degC,17.77777777777778,wmoUnit:percent,71,15 mph,SSW,"https://api.weather.gov/icons/land/day/tsra_hi,20?size=small",Slight Chance Showers And Thunderstorms
14,2025-05-01T11:00:00-05:00,75,F,wmoUnit:percent,19,wmoUnit:degC,17.22222222222222,wmoUnit:percent,66,15 mph,SSW,"https://api.weather.gov/icons/land/day/tsra_hi,20?size=small",Slight Chance Showers And Thunderstorms
